Index,Unique_URLS,Total_Number_Requests,Total_Server_OK_Requests,Total_Server_Error_Requests,Total_Client_Eror_Requests,Country
1,9,34905,1,0,0,IN
2,410,8744,4343,320,0,US
3,29,8493,8451,0,0,US
4,4,7961,7960,0,1,CA
5,132,7035,6983,0,4,US
6,4798,5512,131,0,5377,US
7,137,5321,5269,2,2,US
8,5,4984,4984,0,0,US
9,3,4604,4576,0,27,IN
10,1,4482,4482,0,0,US
11,4047,4083,4082,0,1,JP
12,3156,4081,417,0,3618,US
13,13,3879,3859,0,0,US
14,3,3551,3551,0,0,US
15,1514,3210,2796,22,38,US
16,2603,3126,134,0,2987,US
17,4,2984,2981,0,0,US
18,692,2724,1482,0,5,US
19,884,2583,2223,0,10,CH
20,660,2574,1422,1,7,US
22,1310,2494,5,0,2489,US
23,1668,2485,721,0,1632,US
24,3,2297,2297,0,0,US
25,13,2179,2175,0,2,US
26,615,2163,1979,4,11,US
28,19,1943,1942,0,1,CA
29,2,1935,1935,0,0,US
30,92,1927,1525,190,207,DE
31,1802,1894,1893,0,0,BR
32,552,1880,1705,13,7,US
33,438,1601,1368,8,83,US
34,2,1545,10,0,1535,CA
35,310,1532,1431,9,13,US
36,1,1520,1520,0,0,CA
37,25,1508,42,0,0,AU
38,616,1497,1325,3,2,US
39,1239,1479,1399,0,3,US
40,29,1475,1473,0,0,US
41,341,1466,965,0,1,US
42,409,1451,969,0,3,US
43,533,1450,1256,0,3,US
44,2,1420,1420,0,0,US
45,343,1413,929,0,2,US
46,363,1404,936,1,5,US
47,12,1403,1045,0,0,NL
48,367,1386,1163,11,117,US
49,1320,1381,1364,0,0,US
50,394,1372,1153,13,68,US
51,69,1353,1164,3,46,US
52,300,1342,1264,9,29,US
53,282,1295,1205,3,6,US
54,2,1279,14,44,568,US
55,359,1259,1081,5,98,US
56,579,1210,1050,3,4,US
57,722,1209,1177,0,30,RO
58,345,1200,1011,10,87,US
59,363,1193,949,7,62,US
60,259,1190,937,0,49,US
61,701,1171,1039,1,9,US
62,645,1130,1003,0,5,US
63,346,1119,904,3,83,US
64,346,1113,858,0,0,US
65,311,1111,803,185,44,US
66,340,1079,645,0,3,US
67,5,1069,805,0,1,RO
68,580,1066,939,2,4,US
69,459,1058,900,11,5,US
70,315,1048,860,3,63,US
71,95,1045,727,0,3,US
72,261,1044,988,3,5,US
73,380,1034,964,1,10,US
74,936,1031,1023,0,0,US
75,299,1031,733,2,1,US
76,895,1026,1017,0,0,US
77,689,1019,346,0,13,US
78,173,1010,159,0,8,US
79,895,998,994,0,0,US
80,244,997,937,1,5,US
81,318,994,684,0,183,US
82,379,994,773,1,1,US
83,317,992,786,0,3,US
84,335,976,761,0,3,US
85,38,971,885,1,0,IN
86,315,961,768,0,3,US
87,185,958,196,1,2,US
88,117,957,140,0,0,US
89,338,944,805,0,1,US
90,92,942,897,13,4,US
91,293,898,776,3,15,US
92,308,895,772,1,3,US
93,13,874,873,0,0,JP
94,283,869,697,0,1,US
95,329,867,755,0,4,US
96,72,857,748,3,64,US
97,185,845,732,4,3,AU
98,173,845,749,10,9,US
99,160,845,678,0,0,US
100,315,844,839,0,1,US
101,15,833,824,0,4,TW
102,411,822,731,4,13,US
103,297,822,763,2,10,US
104,17,818,580,0,0,FR
105,3,810,809,0,1,TW
106,9,801,798,0,1,TW
107,244,789,697,0,2,US
108,9,787,729,19,0,US
109,237,786,591,0,82,US
110,187,784,666,8,2,US
111,218,776,598,0,0,US
112,113,772,148,0,1,US
113,122,763,160,1,1,US
114,138,746,713,4,5,US
115,203,745,658,5,7,US
116,247,741,623,8,6,US
117,3,730,729,0,0,NL
118,533,728,627,6,24,US
119,152,721,628,7,9,US
120,25,721,701,2,0,US
121,110,718,588,0,0,US
122,596,717,31,0,683,US
123,270,712,643,2,13,US
124,109,711,147,0,1,US
125,205,710,658,2,3,US
126,259,708,570,0,1,US
127,305,698,645,3,5,US
128,231,691,643,0,2,US
129,297,688,643,0,3,US
130,258,680,648,0,3,US
131,24,677,674,2,0,CA
132,352,673,394,2,108,US
133,240,669,581,1,3,US
134,212,659,429,0,2,US
135,4,644,644,0,0,FR
136,239,634,556,0,3,US
137,295,632,197,1,298,US
138,299,629,569,2,14,US
139,238,629,585,5,13,US
140,46,612,577,32,3,US
141,198,607,585,0,1,US
142,293,602,514,6,5,CA
143,573,599,581,0,4,RU
144,93,592,420,4,1,US
145,73,585,2,0,0,US
146,237,585,484,0,1,US
147,230,574,489,1,3,US
148,52,570,570,0,0,US
149,76,565,527,1,4,AU
150,2,564,564,0,0,NL
151,236,559,504,1,12,US
152,62,557,541,0,8,US
153,145,557,488,0,0,US
154,126,551,474,1,1,SG
155,2,545,545,0,0,DE
156,164,544,482,2,2,US
157,152,543,158,0,0,SY
158,294,543,498,1,1,US
159,5,541,530,11,0,US
160,388,537,1,0,535,US
161,204,537,508,0,1,US
162,475,534,146,0,1,CA
163,122,531,465,0,0,SG
164,524,526,511,0,8,GB
165,523,526,526,0,0,JP
166,103,523,496,0,4,SG
167,121,517,425,0,0,US
168,192,515,415,0,1,US
169,1,509,509,0,0,IN
170,281,507,469,0,6,US
171,15,504,132,1,0,US
172,198,501,297,0,9,US
173,370,501,356,144,0,US
174,108,500,500,0,0,US
